"story_id","question_id","language_code","cefr_level","prompt","choices_json","correct_index","correct_answer","explanation","canonical_url","license"
"de-ein-besuch-beim-bauern","q1","de","A1","Where does Lina go on Saturday?","[""To a small stand with a farmer"",""To a zoo in the big city"",""To a market with many cars""]","0","To a small stand with a farmer","Lina comes to a small stand where a friendly farmer sits and sells apples and cheese.","https://melolingua.com/learn-german/a1-stories/ein-besuch-beim-bauern","CC BY-NC 4.0"
"de-ein-besuch-beim-bauern","q2","de","A1","What is the cow's name?","[""Lina"",""Rosa"",""Muh""]","1","Rosa","The farmer says: 'Her name is Rosa.' The cow has brown and white spots.","https://melolingua.com/learn-german/a1-stories/ein-besuch-beim-bauern","CC BY-NC 4.0"
"de-ein-besuch-beim-bauern","q3","de","A1","What does Lina buy from the farmer?","[""An apple and a cheese"",""A bottle of milk"",""A chicken and a pig""]","1","A bottle of milk","Lina wants to buy fresh milk, and the farmer gives her a bottle from the cow Rosa.","https://melolingua.com/learn-german/a1-stories/ein-besuch-beim-bauern","CC BY-NC 4.0"
"de-ein-tag-im-schwarzwald","q1","de","A1","What do Maria and Jan hear in the forest?","[""A river"",""A bird"",""A car"",""An airplane""]","1","A bird","Maria and Jan hear a bird singing, which emphasizes the peace and beauty of the Black Forest.","https://melolingua.com/learn-german/a1-stories/ein-tag-im-schwarzwald","CC BY-NC 4.0"
"de-ein-tag-im-schwarzwald","q2","de","A1","What do Maria and Jan do at the lake?","[""They swim"",""They eat sandwiches"",""They sleep"",""They fish""]","1","They eat sandwiches","At the lake, they sit on a stone and enjoy their sandwiches while observing nature.","https://melolingua.com/learn-german/a1-stories/ein-tag-im-schwarzwald","CC BY-NC 4.0"
"de-ein-tag-im-schwarzwald","q3","de","A1","What do Maria and Jan drink at the guesthouse?","[""Coffee"",""Tea"",""Hot cocoa"",""Water""]","2","Hot cocoa","After a long day in nature, they relax at the guesthouse with a cup of hot cocoa.","https://melolingua.com/learn-german/a1-stories/ein-tag-im-schwarzwald","CC BY-NC 4.0"
"de-das-team-meeting-am-montag","q1","de","A2","What is Nico supposed to provide figures for from last month?","[""Three points on last month's balance and next steps"",""Only jokes about canteen food"",""A new hobby without work""]","0","Three points on last month's balance and next steps","Nico's boss wants him to provide three clear points about last month's figures and the next steps, focusing on work-related updates.","https://melolingua.com/learn-german/a2-stories/das-team-meeting-am-montag","CC BY-NC 4.0"
"de-das-team-meeting-am-montag","q2","de","A2","Why does one project need three extra days?","[""Because of a delivery issue"",""Because Nico forgets his laptop"",""Because nobody speaks German""]","0","Because of a delivery issue","A delivery problem has delayed the project, showing how external factors can affect the schedule.","https://melolingua.com/learn-german/a2-stories/das-team-meeting-am-montag","CC BY-NC 4.0"
"de-das-team-meeting-am-montag","q3","de","A2","What does he do right after the meeting?","[""He writes a clear email with dates and responsible people"",""He deletes all notes without reading them"",""He takes three months of unannounced vacation""]","0","He writes a clear email with dates and responsible people","Nico follows up the meeting with a clear email that summarizes the points discussed and assigns responsibilities.","https://melolingua.com/learn-german/a2-stories/das-team-meeting-am-montag","CC BY-NC 4.0"
"de-das-team-meeting-am-montag","q4","de","A2","Was macht Nico zuerst im Meeting?","[""Er begrüßt das Team ruhig"",""Er schreibt eine E-Mail"",""Er geht in die Kantine""]","0","Er begrüßt das Team ruhig","Nico beginnt das Meeting mit einer ruhigen Begrüßung, bevor er die wichtigen Punkte bespricht.","https://melolingua.com/learn-german/a2-stories/das-team-meeting-am-montag","CC BY-NC 4.0"
"de-der-baecker-an-der-ecke","q1","de","A2","What does the saleswoman ask first?","[""If Tim wants his usual two rolls"",""If Tim wants to take the whole city with him"",""If Tim only wants to buy water without bread""]","0","If Tim wants his usual two rolls","The saleswoman asks if Tim wants his usual two rolls, showing he is a regular customer.","https://melolingua.com/learn-german/a2-stories/der-baecker-an-der-ecke","CC BY-NC 4.0"
"de-der-baecker-an-der-ecke","q2","de","A2","What does Tim point to in addition to the rolls?","[""A dark rye bread"",""An empty display case"",""A ticket to Paris""]","0","A dark rye bread","Tim points to a dark rye bread, showing his preference for different types of bread.","https://melolingua.com/learn-german/a2-stories/der-baecker-an-der-ecke","CC BY-NC 4.0"
"de-der-baecker-an-der-ecke","q3","de","A2","How does Tim pay?","[""With card"",""Only with seashells from the beach"",""He doesn't pay at all""]","0","With card","Tim pays by card, which is common in modern bakeries.","https://melolingua.com/learn-german/a2-stories/der-baecker-an-der-ecke","CC BY-NC 4.0"
"de-der-baecker-an-der-ecke","q4","de","A2","Wie begrüßt die Verkäuferin Tim?","[""Mit einem freundlichen „Guten Tag“"",""Mit einem lauten „Halt!“"",""Mit einem leisen „Tschüss“""]","0","Mit einem freundlichen „Guten Tag“","Die Verkäuferin lächelt und fragt mit einem freundlichen „Guten Tag“, ob er wie immer zwei Brötchen möchte.","https://melolingua.com/learn-german/a2-stories/der-baecker-an-der-ecke","CC BY-NC 4.0"
"de-die-neue-kollegin","q1","de","A2","Why was Mira nervous on her first day?","[""Because she didn't know anyone."",""Because she was too late."",""Because she didn't like the task."",""Because she doesn't like coffee.""]","0","Because she didn't know anyone.","Mira was nervous because she didn't know anyone at the new agency. A new workplace can be intimidating, especially when you don't know anyone.","https://melolingua.com/learn-german/a2-stories/die-neue-kollegin","CC BY-NC 4.0"
"de-die-neue-kollegin","q2","de","A2","What was Mira's first task?","[""To design a poster."",""To make coffee."",""To clean the office."",""To give a presentation.""]","0","To design a poster.","Mira was supposed to gather ideas for a poster. This was her first task at the new agency.","https://melolingua.com/learn-german/a2-stories/die-neue-kollegin","CC BY-NC 4.0"
"de-die-neue-kollegin","q3","de","A2","How did the team react to Mira's suggestion?","[""They didn't like it."",""They thought it was good."",""They ignored it."",""They laughed about it.""]","1","They thought it was good.","The team liked Mira's suggestion and nodded in agreement. This helped Mira feel more confident.","https://melolingua.com/learn-german/a2-stories/die-neue-kollegin","CC BY-NC 4.0"
"de-die-neue-kollegin","q4","de","A2","Wer zeigt Mira am ersten Tag das Büro?","[""Ihr Chef"",""Ihr Kollege Ben"",""Die Sekretärin""]","1","Ihr Kollege Ben","Am Vormittag zeigt ihr Kollege Ben ihr das Büro, die Küche und den gemütlichen Besprechungsraum.","https://melolingua.com/learn-german/a2-stories/die-neue-kollegin","CC BY-NC 4.0"
"de-ein-wochenende-am-see","q1","de","A2","What did Jonas and his friends want to do at the lake?","[""Swim and barbecue"",""Fish and hike"",""Bike and camp""]","0","Swim and barbecue","Jonas and his friends wanted to swim, barbecue, and sleep in a cabin, which is typical for a relaxing weekend trip.","https://melolingua.com/learn-german/a2-stories/ein-wochenende-am-see","CC BY-NC 4.0"
"de-ein-wochenende-am-see","q2","de","A2","What was the weather like on Saturday morning?","[""Stormy"",""Perfect"",""Foggy""]","1","Perfect","The weather was perfect on Saturday morning, with sunshine and calm water, ideal for outdoor activities.","https://melolingua.com/learn-german/a2-stories/ein-wochenende-am-see","CC BY-NC 4.0"
"de-ein-wochenende-am-see","q3","de","A2","What happened suddenly during the walk?","[""It started snowing"",""The sky turned dark"",""A storm came up""]","1","The sky turned dark","Suddenly the sky turned dark and it started raining heavily, driving the friends back to the cabin.","https://melolingua.com/learn-german/a2-stories/ein-wochenende-am-see","CC BY-NC 4.0"
"de-ein-wochenende-am-see","q4","de","A2","What did the friends do when they returned to the cabin?","[""They slept"",""They cooked soup and played cards"",""They read books""]","1","They cooked soup and played cards","In the cabin, the friends cooked soup, played cards, and told stories to pass the time.","https://melolingua.com/learn-german/a2-stories/ein-wochenende-am-see","CC BY-NC 4.0"
"de-ein-wochenende-am-see","q5","de","A2","How does Jonas feel at the end of the weekend?","[""Disappointed"",""Relieved"",""Content""]","2","Content","Jonas thinks the weekend was beautiful despite the unexpected events, showing he enjoyed the experience.","https://melolingua.com/learn-german/a2-stories/ein-wochenende-am-see","CC BY-NC 4.0"
"de-ein-wochenende-am-see","q6","de","A2","Was haben die Freunde im Regen gemacht?","[""Sie sind draußen geblieben"",""Sie sind zur Hütte zurückgelaufen"",""Sie sind nach Hause gefahren""]","1","Sie sind zur Hütte zurückgelaufen","Die Freunde liefen schnell zur Hütte zurück, um sich vor dem Regen zu schützen.","https://melolingua.com/learn-german/a2-stories/ein-wochenende-am-see","CC BY-NC 4.0"
"de-morgens-in-der-baeckerei","q1","de","A2","What does Jonas order first?","[""Two cheese rolls and a coffee to go"",""Only a giant cake with ten candles"",""An empty basket for no reason""]","0","Two cheese rolls and a coffee to go","Jonas orders two cheese rolls and a coffee to go, which is typical for a quick breakfast.","https://melolingua.com/learn-german/a2-stories/morgens-in-der-baeckerei","CC BY-NC 4.0"
"de-morgens-in-der-baeckerei","q2","de","A2","What does the saleswoman explain about the rye bread?","[""It will be fresh from the oven in ten minutes"",""It was never baked and is made of plastic"",""It can only be bought at night""]","0","It will be fresh from the oven in ten minutes","The rye bread is freshly baked and will be ready in ten minutes, showing the freshness and quality of the bakery.","https://melolingua.com/learn-german/a2-stories/morgens-in-der-baeckerei","CC BY-NC 4.0"
"de-morgens-in-der-baeckerei","q3","de","A2","How does Jonas say goodbye?","[""With a clear \""thank you very much\"""",""By simply disappearing without a word"",""By loudly slamming the door""]","0","With a clear ""thank you very much""","Jonas politely thanks her with a clear ""vielen Dank"", showing his good manners.","https://melolingua.com/learn-german/a2-stories/morgens-in-der-baeckerei","CC BY-NC 4.0"
"de-morgens-in-der-baeckerei","q4","de","A2","Wen trifft Jonas vor der Bäckerei?","[""Eine Nachbarin"",""Seinen Chef"",""Die Postbotin""]","0","Eine Nachbarin","Draußen trifft er eine Nachbarin, die dasselbe Roggenbrot abholen will.","https://melolingua.com/learn-german/a2-stories/morgens-in-der-baeckerei","CC BY-NC 4.0"
"de-spaete-im-supermarkt","q1","de","A2","Why does Lea go to the supermarket so late?","[""Because the fridge is almost empty"",""Because she is looking for photos of empty shelves"",""Because the supermarket is closed during the day""]","0","Because the fridge is almost empty","Lea goes shopping late because her fridge is almost empty. This is a common reason to go shopping late.","https://melolingua.com/learn-german/a2-stories/spaete-im-supermarkt","CC BY-NC 4.0"
"de-spaete-im-supermarkt","q2","de","A2","What does she politely ask at the checkout?","[""If she can return a deposit bottle"",""If she can buy a whole shelf"",""If the cashier will cook her house""]","0","If she can return a deposit bottle","In Germany, it is common to return deposit bottles. Lea politely asks if she can do so.","https://melolingua.com/learn-german/a2-stories/spaete-im-supermarkt","CC BY-NC 4.0"
"de-spaete-im-supermarkt","q3","de","A2","How does the short shopping trip end?","[""Lea nods contentedly because everything was done quickly"",""She leaves the cart in the middle of the aisle and runs away"",""She intentionally forgets her bag at the checkout""]","0","Lea nods contentedly because everything was done quickly","Lea is satisfied because despite the stress, she completed her shopping quickly.","https://melolingua.com/learn-german/a2-stories/spaete-im-supermarkt","CC BY-NC 4.0"
"de-spaete-im-supermarkt","q4","de","A2","Was hat Lea in ihrer Tasche?","[""Eine Pfandflasche"",""Ein Buch"",""Ein Handy""]","0","Eine Pfandflasche","Lea hat eine Pfandflasche in ihrer Tasche, die sie an der Kasse zurückgeben möchte.","https://melolingua.com/learn-german/a2-stories/spaete-im-supermarkt","CC BY-NC 4.0"
"de-zugfahrt-nach-muenchen","q1","de","A2","Why does Laura have to walk faster?","[""Because an announcement changes the platform"",""Because she forgot the train"",""Because the station is closed""]","0","Because an announcement changes the platform","Laura has to walk faster because a sudden announcement changes the platform. Such changes are not unusual at large stations like Frankfurt.","https://melolingua.com/learn-german/a2-stories/zugfahrt-nach-muenchen","CC BY-NC 4.0"
"de-zugfahrt-nach-muenchen","q2","de","A2","Who does she ask for the right carriage?","[""A conductor"",""A pilot"",""A cook from school""]","0","A conductor","Laura asks a conductor for the right carriage. Conductors help travelers with such information.","https://melolingua.com/learn-german/a2-stories/zugfahrt-nach-muenchen","CC BY-NC 4.0"
"de-zugfahrt-nach-muenchen","q3","de","A2","What does she ask in German at the end?","[""Where the subway exit is"",""If there is chocolate on the moon"",""How to start a plane without tickets""]","0","Where the subway exit is","At the end, Laura asks in German where the subway exit is. This shows her progress in language learning.","https://melolingua.com/learn-german/a2-stories/zugfahrt-nach-muenchen","CC BY-NC 4.0"
"de-zugfahrt-nach-muenchen","q4","de","A2","Wo ist Laura am Ende angekommen?","[""In Frankfurt"",""In München"",""In Berlin""]","1","In München","Laura ist mit dem ICE von Frankfurt nach München gefahren und dort angekommen.","https://melolingua.com/learn-german/a2-stories/zugfahrt-nach-muenchen","CC BY-NC 4.0"
"de-der-neue-mitbewohner","q1","de","B1","Where does Tom come from?","[""Berlin"",""Hamburg"",""Munich"",""Frankfurt""]","2","Munich","Tom comes from Munich, a lively city in Bavaria, known for Oktoberfest and its rich culture.","https://melolingua.com/learn-german/b1-stories/der-neue-mitbewohner","CC BY-NC 4.0"
"de-der-neue-mitbewohner","q2","de","B1","What did Tom bring with him?","[""A cat"",""Two suitcases and a guitar"",""A bicycle"",""A dog""]","1","Two suitcases and a guitar","Tom has two large suitcases and an old guitar, indicating his love for music.","https://melolingua.com/learn-german/b1-stories/der-neue-mitbewohner","CC BY-NC 4.0"
"de-der-neue-mitbewohner","q3","de","B1","What do Sophie and Tom do in the evening?","[""They go to the cinema"",""They cook pasta"",""They play cards"",""They watch TV""]","1","They cook pasta","In the evening, Sophie and Tom cook pasta together, which is a good opportunity to get to know each other better.","https://melolingua.com/learn-german/b1-stories/der-neue-mitbewohner","CC BY-NC 4.0"
"de-der-neue-mitbewohner","q4","de","B1","Wie heißt die Mitbewohnerin von Tom?","[""Anna"",""Sophie"",""Maria""]","1","Sophie","Sophie begrüßt Tom und sagt: „Hallo Tom, ich bin Sophie. Willkommen in unserem Zuhause!“","https://melolingua.com/learn-german/b1-stories/der-neue-mitbewohner","CC BY-NC 4.0"
"de-die-wohnungssuche","q1","de","B1","Why is Lea hesitant about the apartment?","[""The rent is too expensive"",""The current tenant is being evicted under unclear circumstances"",""The apartment has no balcony""]","1","The current tenant is being evicted under unclear circumstances","Mrs. Berger reveals she doesn't want to move out and has a fixed-term contract that is expiring — Lea feels uncomfortable about how the landlord is handling it.","https://melolingua.com/learn-german/b1-stories/die-wohnungssuche","CC BY-NC 4.0"
"de-die-wohnungssuche","q2","de","B1","What does the landlord say about Mrs. Berger's situation?","[""She is moving out voluntarily"",""She has a fixed-term contract that is expiring"",""She found another apartment already""]","1","She has a fixed-term contract that is expiring","The landlord explains that Mrs. Berger has a befristeten Vertrag (fixed-term contract) that is running out, which is legal but leaves the tenant without security.","https://melolingua.com/learn-german/b1-stories/die-wohnungssuche","CC BY-NC 4.0"
"de-die-wohnungssuche","q3","de","B1","What does Lea's friend advise her?","[""Take the apartment immediately before someone else does"",""Tell the landlord she will report him"",""Leave it and wait for another apartment without drama""]","2","Leave it and wait for another apartment without drama","Lea's friend says if Lea has a bad feeling about it, she should wait — another apartment without drama will come eventually.","https://melolingua.com/learn-german/b1-stories/die-wohnungssuche","CC BY-NC 4.0"
"de-die-wohnungssuche","q4","de","B1","Warum ist Lea unsicher, ob sie die Wohnung nehmen soll?","[""Die Miete ist zu hoch"",""Die aktuelle Mieterin will nicht ausziehen"",""Die Wohnung hat keinen Balkon""]","1","Die aktuelle Mieterin will nicht ausziehen","Lea fühlt sich unwohl, weil Frau Berger eigentlich gar nicht ausziehen möchte und der Vermieter sie mit einem befristeten Vertrag loswerden will.","https://melolingua.com/learn-german/b1-stories/die-wohnungssuche","CC BY-NC 4.0"
"de-ein-besuch-im-pergamonmuseum","q1","de","B1","Why did Felix decide to read the bilingual information panels slowly?","[""Because he wanted more context instead of taking lots of photos"",""Because reading seems automatically impossible to him"",""Because the museum doesn't offer any panels""]","0","Because he wanted more context instead of taking lots of photos","Felix wanted to better understand the story by thoroughly reading the information on the panels instead of relying only on photos.","https://melolingua.com/learn-german/b1-stories/ein-besuch-im-pergamonmuseum","CC BY-NC 4.0"
"de-ein-besuch-im-pergamonmuseum","q2","de","B1","What did Felix combine in his notebook?","[""Precise data and small drawings"",""Only TikTok lyrics without effect"",""Nothing but numbers without explanations""]","0","Precise data and small drawings","Felix combined data with sketches to better process and retain the information.","https://melolingua.com/learn-german/b1-stories/ein-besuch-im-pergamonmuseum","CC BY-NC 4.0"
"de-ein-besuch-im-pergamonmuseum","q3","de","B1","Where did Felix go when the group argued loudly about restitution?","[""To a quieter part of the exhibition"",""To a fish market without a plan"",""Directly to another country without pause""]","0","To a quieter part of the exhibition","Felix sought a quieter place to avoid the noise and enjoy the exhibition in peace.","https://melolingua.com/learn-german/b1-stories/ein-besuch-im-pergamonmuseum","CC BY-NC 4.0"
"de-ein-besuch-im-pergamonmuseum","q4","de","B1","Warum ist Felix ins Pergamonmuseum gegangen?","[""Weil TikTok es empfohlen hat"",""Weil er Geschichte als lebendigen Raum erleben wollte"",""Weil es kostenlos war""]","1","Weil er Geschichte als lebendigen Raum erleben wollte","Felix betrat das Pergamonmuseum, nicht weil TikTok es empfahl, sondern weil er Geschichte als lebendigen Raum erleben wollte.","https://melolingua.com/learn-german/b1-stories/ein-besuch-im-pergamonmuseum","CC BY-NC 4.0"
"de-im-biergarten","q1","de","B1","What does Felix order to drink?","[""A dark beer"",""A light beer"",""A glass of wine""]","1","A light beer","Felix orders a light beer, which is typical for a visit to a beer garden.","https://melolingua.com/learn-german/b1-stories/im-biergarten","CC BY-NC 4.0"
"de-im-biergarten","q2","de","B1","What does Lisa show her friends?","[""Photos from her vacation"",""A new car"",""A new book""]","0","Photos from her vacation","Lisa shows photos from her vacation in Italy, a popular topic of conversation among friends.","https://melolingua.com/learn-german/b1-stories/im-biergarten","CC BY-NC 4.0"
"de-im-biergarten","q3","de","B1","What happens when the sun goes down?","[""The friends go home"",""The music gets louder"",""The sky turns dark""]","2","The sky turns dark","The sky turns dark and the stars begin to shine, creating a romantic atmosphere.","https://melolingua.com/learn-german/b1-stories/im-biergarten","CC BY-NC 4.0"
"de-im-biergarten","q4","de","B1","Was bestellt Felix außer Bier noch?","[""Eine Brezel"",""Eine Portion Obatzda mit Brot"",""Einen Salat""]","1","Eine Portion Obatzda mit Brot","Felix bestellt auch eine Portion Obatzda mit knusprigem Brot.","https://melolingua.com/learn-german/b1-stories/im-biergarten","CC BY-NC 4.0"
"de-lichtinstallation-im-museum","q1","de","B1","Why does Simon go to the museum on Friday?","[""Because a new light installation opened and colleagues were talking about it"",""Because he wants to sleep there"",""Because the museum shows no art""]","0","Because a new light installation opened and colleagues were talking about it","Simon's colleagues raved about the new light installation, which made him curious and drew him to the museum.","https://melolingua.com/learn-german/b1-stories/lichtinstallation-im-museum","CC BY-NC 4.0"
"de-lichtinstallation-im-museum","q2","de","B1","What did artists and curators work on for a long time?","[""Rehearsing with projectors until the shadows looked calm"",""Only glued posters without light"",""Completely demolished the museum""]","0","Rehearsing with projectors until the shadows looked calm","The artists and curators worked with projectors for months to achieve the perfect effect of the shadows.","https://melolingua.com/learn-german/b1-stories/lichtinstallation-im-museum","CC BY-NC 4.0"
"de-lichtinstallation-im-museum","q3","de","B1","How does he feel after an hour?","[""Content and slightly disoriented between light and shadow"",""Completely indifferent and angry"",""As if he had never left the house""]","0","Content and slightly disoriented between light and shadow","After the fascinating light show, Simon feels satisfied but also slightly dazed by the visual impressions.","https://melolingua.com/learn-german/b1-stories/lichtinstallation-im-museum","CC BY-NC 4.0"
"de-lichtinstallation-im-museum","q4","de","B1","Wo sitzt Simon während der Lichtinstallation?","[""Auf einer Bank in einer dunklen Halle"",""Im Café des Museums"",""Vor dem Museumseingang""]","0","Auf einer Bank in einer dunklen Halle","In einer dunklen Halle saß Simon auf einer Bank und beobachtete die Lichtinstallation.","https://melolingua.com/learn-german/b1-stories/lichtinstallation-im-museum","CC BY-NC 4.0"
"de-roadmap-im-team-meeting","q1","de","B1","What problem does Daniela describe first?","[""Annoying bugs in the reporting despite the feature looking done"",""That the feature doesn't exist at all"",""That nobody ever tests""]","0","Annoying bugs in the reporting despite the feature looking done","Daniela first talks about the bugs in the reporting that persist despite the feature looking complete.","https://melolingua.com/learn-german/b1-stories/roadmap-im-team-meeting","CC BY-NC 4.0"
"de-roadmap-im-team-meeting","q2","de","B1","What does she suggest before going live?","[""Scheduling two sessions for manual tests"",""Publishing everything immediately without checking"",""Hiding all bugs with tape""]","0","Scheduling two sessions for manual tests","Daniela suggests scheduling two manual test sessions to avoid surprises.","https://melolingua.com/learn-german/b1-stories/roadmap-im-team-meeting","CC BY-NC 4.0"
"de-roadmap-im-team-meeting","q3","de","B1","Why is transparent communication important?","[""So sales specialists can inform customers correctly"",""So nobody has to work anymore"",""So bugs become invisible""]","0","So sales specialists can inform customers correctly","Transparent communication is important so that the sales specialists can inform customers correctly.","https://melolingua.com/learn-german/b1-stories/roadmap-im-team-meeting","CC BY-NC 4.0"
"de-roadmap-im-team-meeting","q4","de","B1","Wer könnte die schwersten Fälle übernehmen?","[""Daniela"",""Ein Kollege mit entschlossenem Blick"",""Die Projektleiterin""]","1","Ein Kollege mit entschlossenem Blick","Ein Kollege meint, er könnte die schwersten Fälle übernehmen, weil er bereits letzte Woche ähnliche Fehler gelöst hat.","https://melolingua.com/learn-german/b1-stories/roadmap-im-team-meeting","CC BY-NC 4.0"
"de-das-abendessen-mit-freunden","q1","de","B2","What triggers the conflict during dinner?","[""Thomas criticizes the wine Maria chose"",""Thomas offhandedly calls veganism 'compulsive'"",""Maria forgot to cook meat for Thomas""]","1","Thomas offhandedly calls veganism 'compulsive'","Thomas says the vegan food has 'something compulsive about it' ('was Zwanghaftes'), which offends Maria who carefully prepared an all-vegan meal.","https://melolingua.com/learn-german/b2-stories/das-abendessen-mit-freunden","CC BY-NC 4.0"
"de-das-abendessen-mit-freunden","q2","de","B2","What deeper issue does the conflict reveal?","[""Thomas is jealous of Maria's cooking skills"",""The friends have grown apart and are struggling with changing values and lifestyles"",""Anna and Felix are secretly dating""]","1","The friends have grown apart and are struggling with changing values and lifestyles","The argument about veganism reveals a deeper issue: the friends are no longer the same people they were at twenty, and they're struggling to maintain their friendship across growing differences in values and lifestyles.","https://melolingua.com/learn-german/b2-stories/das-abendessen-mit-freunden","CC BY-NC 4.0"
"de-das-abendessen-mit-freunden","q3","de","B2","How does the evening end?","[""Thomas leaves early, and the others criticize him"",""The friends make up, laugh together, but acknowledge things have changed"",""Everyone agrees to go vegan""]","1","The friends make up, laugh together, but acknowledge things have changed","After Thomas apologizes, they shift to lighter topics. Thomas makes a self-deprecating joke about the chocolate mousse, and everyone laughs — 'It's not the same laughter as before, but it's a beginning.'","https://melolingua.com/learn-german/b2-stories/das-abendessen-mit-freunden","CC BY-NC 4.0"
"de-das-abendessen-mit-freunden","q4","de","B2","Warum wird die Stimmung beim Abendessen angespannt?","[""Weil das Essen kalt ist"",""Weil Thomas das vegane Essen kritisiert"",""Weil Maria keinen Wein hat""]","1","Weil Thomas das vegane Essen kritisiert","Thomas sagt beiläufig, dass das vegane Essen „was Zwanghaftes“ habe, was Maria verletzt.","https://melolingua.com/learn-german/b2-stories/das-abendessen-mit-freunden","CC BY-NC 4.0"
"de-das-dorf-im-schwarzwald","q1","de","B2","What does Dr. Albrecht discover about the Festival of Silent Lights?","[""It is a traditional harvest festival dating back centuries"",""It was invented by a mayor to cover up a deadly landslide"",""It was originally a pagan ritual""]","1","It was invented by a mayor to cover up a deadly landslide","The festival was invented by a mayor named Mösle to cover up a landslide that buried a farm and killed seven people. He feared the truth would cause people to abandon the village.","https://melolingua.com/learn-german/b2-stories/das-dorf-im-schwarzwald","CC BY-NC 4.0"
